"sentence","event_type"
"The sudden influx of gold into the money supply reinvigorated the American economy, and the sudden population increase allowed California to go rapidly to statehood, in the Compromise of 1850.","None"
"Arthur Koestler called the Soviet attitude ""one of the major infamies of this war which will rank for the future historian on the same ethical level with Lidice.""","None"
"There have been a number of breaks in the investigation of the bombing.","Investigation"
"Most of the victims were vacationers in the Los Alfaques seaside campsite.","Disaster"
"A full-production show began in March 2011 in the United Kingdom and Australasia.","None"
"Some tracks were performed in acoustic versions.","None"
"Although the battle itself was inconclusive, the Union Army's repulse of two Confederate attacks and the subsequent Confederate withdrawal were a much-needed boost to Union morale after the defeat at the Battle of Fredericksburg, and it dashed Confederate aspirations for control of Middle Tennessee.","Attack"
"The 2012–14 Romanian protests against shale gas are an ongoing series of protests in major Romanian cities against exploitation of shale gas through controversial method of hydraulic fracturing.","Protest"
"On the other date, two of the members were diagnosed with bronchitis, prompting them to cancel the Washington show on September 16.","Investigation"
"On 9 September Sercey's frigates formed a line of battle, successfully engaging first ""Arrogant"" and then ""Victorious"" and inflicting damage on each while preventing them from supporting one another.","Attack"
"The trial of the case began on 7 March 2002 and as many as 1,300 witnesses were examined.","Investigation"
"It has been sometimes referred to as ""Europe's longest war"".","None"
"More than 20 people received non-life-threatening injuries and two people died in the collapse.","Injury"
"This also counted as their ninth European title, with the Czechs finishing second and the Swedes third.","None"
"Since Dean was initially difficult to forecast, it posed a possible threat to the Lesser Antilles, as a result, several evacuations occurred, and many hurricane watches and warning were issued.","Disaster"
"These claims were later refuted by Taliban leaders in Nuristan and Badakhshan, who stated that they had confirmed the dead were bona-fide aid workers, condemned the killings as murder, and offered their condolences to the families of those killed.","Investigation"
"Social media sites including Facebook also featured rumours of further disturbances or details surrounding known disturbances which were later proven to be inaccurate; for instance there were rumours of disturbances in the town of Dudley and at the nearby Merry Hill Shopping Centre, but no incidents in these areas were detected by police.","Attack"
"Niklaus Leuenberger was beheaded and quartered in Bern on September 6, 1653.","Injury"
"The 2006 New York City plane crash occurred on October 11, 2006, when a Cirrus SR20 general aviation, fixed-wing, single-engine light aircraft crashed into the Belaire Apartments in the Upper East Side of Manhattan, New York City, at about 2:42 p.m. EDT (18:42 UTC).","Disaster"
"The accident investigators cited the probable cause as a visual approach procedure at night in which the descent was begun from an incorrectly identified point.","None"
"Along its path, Charley caused 10 deaths and $16.9 billion in damage to insured residential property, making it the second costliest hurricane in United States history at the time.","None"
"These forces occupied the Hathung La, across the Namka Chu from Thag La.","Attack"
"In the late 1550s, the ruler of one of the Kabardás, Temryuk (or Temriuk), struck a politico-military alliance with Tsar Ivan IV of Russia (""Ivan the Terrible""), for mutual assistance against expansionist attacks by the Persian and Ottoman Empires.","Attack"
"The ""Shramjeevi Express"" train was travelling in the afternoon between Jaunpur and Delhi when, at 5.15pm, a sudden explosion tore through one of the carriages.","Disaster"
"Detonated on March 1, 1954, the device was the most powerful nuclear device detonated by the United States and its first lithium deuteride fueled thermonuclear weapon.","Attack"
"Then, in May 1975, the newly formed Democratic Kampuchea, dominated by the Khmer Rouge, began attacking Vietnam, beginning with an attack on the Vietnamese island of Phú Quốc .","Attack"
"Whether a battle or massacre, it was certainly the bloodiest of any engagement of the Moro Rebellion, with only six of the hundreds of Moro surviving the bloodshed.","Attack"
"of central Tokyo were destroyed, leaving an estimated 100,000 civilians dead and over 1 million homeless.","Disaster"
"The siege lasted for four months, during which time one-third of the Portuguese troops either died (mainly from the plague) or deserted.","Injury"
"It found forensic evidence supported the officer's account, that witnesses who corroborated the officer's account were credible, and that witnesses who had incriminated him were not credible, with some admitting they had not directly seen the events.","Investigation"
"The sabotage theory was ruled out despite a threat letter being received a few days earlier, prompting Communist Party leader Jacques Duclos to demand an inquiry on the matter.","Investigation"
"The conflict in Jammu and Kashmir has strong Islamist elements among the insurgents, with many of the ""ultras"" identifying with Jihadist movements and supported by such.","Investigation"
"The festival is held over three days during February each year.","None"
"There also were thousands of people injured, dozens kidnapped and a disputed number going into exile, either to flee from the violence or to avoid capture by Spanish or French police or by Europol/Interpol.","Injury"
"The battle's name usually includes the year, when referenced, in order to distinguish it amongst the nine major Battles of Mogadishu during the decades long Somali Civil War.","Investigation"
